"filename", "language", "Shell Script", "Makefile", "Markdown", "C++", "Assembly", "C", "YAML", "Perl", "JSON", "Poryasm", "Poryscript", "PowerShell", "comment", "blank", "total"
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_BattleArenaBattleRoom\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 1, 139
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_BattleArenaBattleRoom\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 558, 0, 0, 0, 82, 640
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_BattleArenaCorridor\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 1, 35
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_BattleArenaCorridor\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 11, 93
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_BattleArenaLobby\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 1, 112
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_BattleArenaLobby\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 503, 0, 0, 0, 74, 577
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_BattleDomeBattleRoom\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 216, 0, 0, 0, 0, 1, 217
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_BattleDomeBattleRoom\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1055, 0, 0, 0, 126, 1181
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_BattleDomeCorridor\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 1, 50
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_BattleDomeCorridor\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 14, 152
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_BattleDomeLobby\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 1, 148
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_BattleDomeLobby\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 579, 0, 0, 0, 103, 682
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_BattleDomePreBattleRoom\map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 1, 50
"g:\Games\Rom Hacking\My Hacks\Decomp\Emerald\pokeemerald\data\maps\BattleFrontier_BattleDomePreBattleRoom\scripts.inc", "Poryasm", 0, 0, 0, 0, 0, 0, 0, 0, 0, 328, 0, 0, 0, 66, 394
